Source,Target
energy,research
emissions,climate change
climate,environment
mitigation,change
mitigation,increase
policy,future
development,change
development,increase
climate change,climate
climate change,change
climate change,electricity
climate change,increase
climate change,forest
climate change,greenhouse gas
costs,economy
cost,costs
cost,term
cost,economics
chapter,term
technology,reduction
reduction,change
reduction,gas
reduction,growth
land,production
land,world
world,land
world,term
production,economics
production,change
production,economy
transport,change
transport,climate change
transport,industry
market,trade
market,economics
market,economy
report,information
power,economics
power,economy
power,term
management,power
research,change
research,industry
analysis,research
section,chapter
section,information
available,industry
industry,environment
industry,economy
demand,term
demand,economics
growth,change
growth,reduction
increase,change
range,term
university,research
waste,climate change
waste,economics
government,economics
government,power
government,environment
environment,electricity
air,carbon
air,greenhouse gas
trade,market
trade,industry
trade,economics
trade,economy
trade,production
trade,term
forest,term
forest,environment
agreement,term
agreement,change
agreement,information
example,term
consumption,trade
consumption,economics
supply,economics
supply,economy
table,information
table,data
energy efficiency,energy
greenhouse gas,emissions
greenhouse gas,climate
greenhouse gas,climate change
greenhouse gas,greenhouse
adaptation,term
economics,social
economics,economy
economics,university
model,term
journal,research
journal,industry
journal,information
sustainable development,change
sustainable development,industry
biomass,energy
evidence,policy
evidence,term
evidence,information
investment,trade
data,information
data,economics
price,costs
economy,production
economy,industry
economy,economics
information,data