Source,Target,Label
1312895255633567744,881615056437297152,mentioned
66780587,66780587,quoted
2293415520,384923143,mentioned
2293415520,258847118,mentioned
1170216594414243840,3000978330,mentioned
19168238,17220934,mentioned
19168238,50393960,mentioned
19168238,44196397,mentioned
1176824898729250816,810574701223235584,mentioned
20646711,20646711,mentioned
408254056,61126132,mentioned
741200766451523584,23369246,mentioned
421274906,871686942,mentioned
23369246,32985433,mentioned
23638544,138360455,mentioned
1371881558278172674,807049065200500737,mentioned
122706519,20609518,mentioned
122706519,1488137362676793344,mentioned
20646711,20646711,mentioned
811192656,102448827,mentioned
811192656,276713213,mentioned
1495635512308432896,137043879,mentioned
1369998441531727879,14260960,mentioned
1369998441531727879,43928023,mentioned
1369998441531727879,3085819114,mentioned
2881236430,192942213,mentioned
1077214808,7744592,quoted
1077214808,890275940550537217,mentioned
1180555549672460289,1053768884732547072,mentioned
1180555549672460289,1006419421244678144,mentioned
18219480,274673392,mentioned
18219480,1562404537,mentioned
1294974404233965570,978140330,mentioned
113062227,14342564,mentioned
109944769,17471979,mentioned
1160263164078022656,1424821374628114435,mentioned
1160263164078022656,904408999,mentioned
1160263164078022656,16900850,mentioned
2956724790,15919988,mentioned
2956724790,44196397,mentioned
2956724790,921311810669522945,mentioned
2956724790,1239736451467632640,mentioned
2956724790,824111291577040896,mentioned
17865542,260211154,mentioned
17865542,1417844797591728133,mentioned
1161326804759531520,192942213,mentioned
1226299611872022528,32950484,quoted
1134894192180809729,761374525,mentioned
2803191,2803191,mentioned
480196886,881615056437297152,quoted
17463923,732420078290018304,mentioned
17463923,248965136,mentioned
1429514676648480781,180919104,mentioned
15719232,54322957,mentioned
759490818755457024,19282280,mentioned
39085195,39085195,mentioned
1081646772852805632,67611162,mentioned
1081646772852805632,1135594969866100737,mentioned
113062227,14342564,mentioned
1467080747479666691,67611162,mentioned
1467080747479666691,1135594969866100737,mentioned
1207312264161832960,1053768884732547072,mentioned
1207312264161832960,1317125122042388485,mentioned
14342564,373373336,mentioned
192942213,14499829,quoted
192942213,14499829,mentioned
958192618940252160,1917731,quoted
2615581908,40068395,quoted
1294974404233965570,1276350918,mentioned
1294974404233965570,978140330,mentioned
2480072786,991610077936316416,mentioned
2480072786,1201633579324841985,mentioned
2480072786,70416028,mentioned
307826219,359696537,mentioned
716576919328841728,3346529644,mentioned
40001204,14342564,mentioned
480196886,192942213,mentioned
357270132,192942213,mentioned
20820771,14437914,quoted
41133588,1606048885,mentioned
898297024784859136,3402941374,mentioned
898297024784859136,204279080,mentioned
898297024784859136,196342198,mentioned
898297024784859136,974190958911934465,mentioned
898297024784859136,1703978058,mentioned
528389751,192942213,mentioned
528389751,1204418652,mentioned
192942213,1066901215261409280,mentioned
192942213,192942213,mentioned
856148305,192942213,mentioned
575510575,192942213,mentioned
575510575,45323882,mentioned
575510575,3030788479,mentioned
575510575,818332236,mentioned
575510575,202313343,mentioned
147050008,192942213,mentioned
192942213,38146999,mentioned
192942213,2409488466,mentioned
40001204,192942213,mentioned
40001204,14159148,mentioned
40001204,811229675758505984,mentioned
140137815,192942213,mentioned
1381982526881865728,198584761,mentioned
1381982526881865728,1006419421244678144,mentioned
276713213,17410863,mentioned
958192618940252160,722793491059769344,mentioned
1059390344591159296,1606048885,mentioned
1505466403205251074,238746075,mentioned
38146999,38146999,mentioned
38146999,39085195,mentioned
799456814299512832,1467080747479666691,mentioned
2187906247,2326120952,mentioned
2187906247,18125005,mentioned
2187906247,2805687654,mentioned
2187906247,2187906247,mentioned
2187906247,752849510443970560,mentioned
2187906247,1225077221586432000,mentioned
2187906247,1285305090442575872,mentioned
271074952,140252240,mentioned
271074952,43092107,mentioned
4227187828,18846918,mentioned
4227187828,26303584,mentioned
66780587,1314284868885377024,mentioned
66780587,17596622,mentioned
66780587,919737506,mentioned
1856588299,1088422554,mentioned
1856588299,2558252576,mentioned
926019424154349568,174083824,mentioned
926019424154349568,34116377,mentioned
1009135067153616896,1009135067153616896,mentioned
1009135067153616896,1450174922542784521,mentioned
122706519,877832878830137345,mentioned
122706519,2287677342,mentioned
122706519,754197014724739072,mentioned
122706519,18839785,mentioned
122706519,471741741,mentioned
1195025771368239106,17463923,mentioned
1195025771368239106,192942213,mentioned
2923724679,811229675758505984,mentioned
2923724679,14159148,mentioned
300442541,4970411,mentioned
113062227,1219222929743007744,mentioned
39002335,263906814,mentioned
39002335,25235151,mentioned
39002335,556661091,mentioned
708130060738306049,1967889907,mentioned
1215382042772307968,580097412,mentioned
1215382042772307968,629560435,mentioned
1215382042772307968,728344273620344832,mentioned
1207312264161832960,1053768884732547072,mentioned
1207312264161832960,1006419421244678144,mentioned
1207312264161832960,1134059457191776257,mentioned
960363376399474688,1110280824,quoted
960363376399474688,161822962,mentioned
165391600,70939654,mentioned
1483150590846844931,384923143,mentioned
192942213,192942213,mentioned
1215382042772307968,580097412,mentioned
1215382042772307968,629560435,mentioned
1215382042772307968,728344273620344832,mentioned
408254056,61126132,mentioned
17463923,214842351,mentioned
961299362,84750011,mentioned
40001204,19649135,mentioned
113062227,816592081200279552,mentioned
752854610981847040,1318992773517893633,mentioned
780668933116309504,739331942433226756,mentioned
1467080747479666691,67611162,mentioned
20606005,47285504,mentioned
20606005,17870903,mentioned
17137628,156001328,mentioned
1270133776748855304,1493350342158921736,quoted
66780587,17596622,mentioned
66780587,919737506,mentioned
38146999,20596281,mentioned
976995099170062338,1175946629804740608,quoted
976995099170062338,20659868,mentioned
976995099170062338,16596200,mentioned
299273962,807095,quoted
299273962,1349149096909668363,mentioned
299273962,939091,mentioned
711760467383877632,49923337,mentioned
711760467383877632,75246346,mentioned
1175946629804740608,16596200,mentioned
1175946629804740608,20659868,mentioned
299273962,15464697,quoted
113062227,916735110,mentioned
1195025771368239106,156001328,mentioned
23638544,926049255755788288,mentioned
1198972367290191872,229045433,mentioned
1429514676648480781,4493282356,mentioned
1429514676648480781,28381177,mentioned
1429514676648480781,1447138928570421256,mentioned
113062227,344395626,mentioned
113062227,3346529644,mentioned
913288098632658949,1006419421244678144,mentioned
40955185,92113269,mentioned
510846846,4269393803,quoted
510846846,3110958489,mentioned
140137815,140137815,mentioned
926309671773683712,1006419421244678144,mentioned
926309671773683712,1134059457191776257,mentioned
926309671773683712,1019974187975430144,mentioned
926309671773683712,1087723402226487297,mentioned
926309671773683712,800285348261556224,mentioned
926309671773683712,1096766566279073792,mentioned
1270133776748855304,701725963,quoted
1308706229913559041,894829056679706624,mentioned
17026589,1407803571421200397,quoted
17026589,1354898820400877571,mentioned
17026589,1407803571421200397,mentioned
926309671773683712,1006419421244678144,mentioned
926309671773683712,1134059457191776257,mentioned
926309671773683712,1087723402226487297,mentioned
926309671773683712,800285348261556224,mentioned
926309671773683712,1096766566279073792,mentioned
926309671773683712,1019974187975430144,mentioned
17137628,39822897,mentioned
192942213,14159148,mentioned
103155170,1000369692278738944,mentioned
37877812,2775374745,mentioned
146123790,420100653,quoted
53293606,305328519,mentioned
53293606,2768501,mentioned
1160263164078022656,716576919328841728,mentioned
135187648,869909089,mentioned
1306520493575622657,23128315,mentioned
4719757718,44196397,mentioned
716576919328841728,3346529644,mentioned
20646711,192942213,mentioned
171429034,2543109397,mentioned
171429034,103770785,mentioned
958192618940252160,949934436,mentioned
958192618940252160,16581604,mentioned
958192618940252160,138203134,mentioned
958192618940252160,29442313,mentioned
291580123,52334569,quoted
2911144905,19386622,mentioned
2911144905,279788564,mentioned
21436960,192942213,mentioned
1329800117344497665,1392933480,mentioned
16379018,28657533,mentioned
591459541,192942213,mentioned
1160263164078022656,192942213,mentioned
1160263164078022656,192942213,mentioned
959285621490515969,67611162,mentioned
959285621490515969,19190337,mentioned
2942361600,192942213,mentioned
2942361600,14615871,mentioned
277431177,837693559,mentioned
2769994652,837693559,mentioned
2769994652,277431177,mentioned
1043069201534119937,192942213,mentioned
123231225,15507433,mentioned
123231225,212167191,mentioned
40001204,192942213,mentioned
74447139,192942213,mentioned
192942213,732945986742521856,mentioned
1219176308720181248,192942213,mentioned
214842351,192942213,mentioned
192942213,14159148,mentioned
192942213,811229675758505984,mentioned
140137815,192942213,mentioned
144993330,192942213,mentioned
202313343,192942213,mentioned
1195025771368239106,192942213,mentioned
73760208,192942213,mentioned
73760208,1365460075,mentioned
39085195,39085195,mentioned
39085195,20596281,mentioned
1391108581718691841,325512390,mentioned
295693924,67611162,mentioned
958192618940252160,15007149,mentioned
39002335,34116377,mentioned
192942213,192942213,mentioned
1709275855,1709275855,quoted
14342564,192942213,mentioned
14342564,373373336,mentioned
1461716693437214722,1214456673605165056,mentioned
140137815,13201312,mentioned
958192618940252160,939091,mentioned
958192618940252160,15007149,mentioned
958192618940252160,17220934,mentioned
192942213,38146999,mentioned
192942213,104485530,mentioned
3295574960,733536861902114816,mentioned
926309671773683712,1006419421244678144,mentioned
561887188,19066345,mentioned
1270133776748855304,15088481,quoted
958192618940252160,1349170292564905988,mentioned
958192618940252160,939091,mentioned
127483019,714996735,mentioned
127483019,192199152,mentioned
796061761606651905,895948501288407040,quoted
796061761606651905,612473,mentioned
171429034,66837674,mentioned
171429034,859363899291742210,mentioned
171429034,750202178338422784,mentioned
171429034,2543109397,mentioned
2657755585,1037633133523423232,mentioned
2657755585,921735019693051904,mentioned
2657755585,270556937,mentioned
1074388449686380544,714996735,mentioned
1074388449686380544,192199152,mentioned
1074388449686380544,9959702,mentioned
1429514676648480781,54399803,mentioned
1429514676648480781,1370100505934987267,mentioned
1429514676648480781,1434963475827154949,mentioned
1429514676648480781,569969724,mentioned
1429514676648480781,1431892957217628160,mentioned
1077214808,130186856,mentioned
730198661058170880,1063583406196445184,mentioned
730198661058170880,1339166129110065152,mentioned
78718258,385883178,mentioned
1048009291838316544,1296971175952711681,mentioned
17463923,38146999,mentioned
208930420,38146999,mentioned
208930420,192842634,mentioned
208930420,775875252555436032,mentioned
208930420,44601026,mentioned
208930420,3459051,mentioned
208930420,71310291,mentioned
208930420,882492124507377664,mentioned
3053663748,140137815,mentioned
1077214808,14926825,mentioned
28817015,59514202,mentioned
28817015,822215679726100480,mentioned
28817015,803694179079458816,mentioned
28817015,14159148,mentioned
28817015,500704345,mentioned
28817015,2836421,mentioned
28817015,759251,mentioned
28817015,20998647,mentioned
28817015,807095,mentioned
28817015,16581604,mentioned
1191799251757604867,67611162,mentioned
53139864,2228709626,mentioned
192942213,38146999,mentioned
192942213,2409488466,mentioned
1334055538116718593,14732889,mentioned
112807276,1134059457191776257,mentioned
112807276,1214456673605165056,mentioned
930316859181854721,168607383,mentioned
930316859181854721,951060005750484998,mentioned
930316859181854721,3021267989,mentioned
1077214808,17220934,mentioned
1077214808,1359700774910128128,mentioned
66780587,3545818341,mentioned
1334055538116718593,14732889,mentioned
24671422,1134059457191776257,mentioned
24671422,115099953,mentioned
17463923,1134059457191776257,mentioned
774328791606767617,1351716580720316417,mentioned
774328791606767617,82119937,mentioned
40955185,314125926,mentioned
40955185,1189203597990469633,mentioned
40955185,401907889,mentioned
40955185,2969631215,mentioned
40955185,1343645053,mentioned
38146999,811229675758505984,mentioned
123231225,482244952,mentioned
123231225,59029811,mentioned
15088481,3346529644,mentioned
928925381419298816,14159148,mentioned
926309671773683712,1006419421244678144,mentioned
958192618940252160,227837742,quoted
2787878432,99989439,mentioned
2787878432,219070649,mentioned
135187648,940638528173731840,mentioned
74447139,19649135,mentioned
73327118,67611162,quoted
716576919328841728,3346529644,mentioned
1429514676648480781,1370100505934987267,mentioned
1429514676648480781,1447138928570421256,mentioned
122706519,1427664402,mentioned
122706519,2859570452,mentioned
122706519,134758540,mentioned
299273962,33584794,mentioned
137207244,818111462791061507,mentioned
3074982280,17471979,mentioned
913288098632658949,1006419421244678144,mentioned
913288098632658949,1053768884732547072,mentioned
1122858502874124288,20663500,mentioned
219081096,1435518902977523716,quoted
1210379403332423680,15500199,mentioned
1210379403332423680,160856325,mentioned
1210379403332423680,132731802,mentioned
1207312264161832960,1053768884732547072,mentioned
1207312264161832960,1317125122042388485,mentioned
1207312264161832960,1214456673605165056,mentioned
907534014902390784,1361234582503325696,mentioned
907534014902390784,968760479987519488,mentioned
907534014902390784,815187427614748672,mentioned
907534014902390784,168607383,mentioned
3431710900,14342564,mentioned
3431710900,16245822,mentioned
3307869009,3307869009,mentioned
74447139,1480051292,mentioned
48774028,1022127404,mentioned
550342513,79962986,mentioned
1077214808,79728388,quoted
2597693048,748210002352017409,mentioned
113062227,842679437263028226,mentioned
913690691359924226,14159148,mentioned
378790200,218629000,quoted
1324208764627550208,1053768884732547072,mentioned
1328230121040347136,1322280106497314816,mentioned
140137815,1478843840,mentioned
140137815,32372834,mentioned
2437422650,384923143,mentioned
1463176934,2990627655,quoted
53435986,384923143,mentioned
24290265,33933259,mentioned
24290265,622886707,mentioned
774328791606767617,14185317,mentioned
93714983,102448827,mentioned
1447138928570421256,1429514676648480781,mentioned
1240094473637343232,1366425991220985862,mentioned
1715151974,1006419421244678144,mentioned
1715151974,15480686,mentioned
1715151974,1053768884732547072,mentioned
1715151974,229016226,mentioned
1715151974,791812078730223616,mentioned
2881236430,765510741411655680,mentioned
38146999,104277809,mentioned
3189885294,1006419421244678144,mentioned
3189885294,1134059457191776257,mentioned
3189885294,1087723402226487297,mentioned
3189885294,1198157844,mentioned
3189885294,4329928102,mentioned
3189885294,2751501216,mentioned
3189885294,1008688766062661632,mentioned
95316081,216259394,mentioned
95316081,1226458368,mentioned
95316081,2558684772,mentioned
95316081,1202483490,mentioned
95316081,95316081,mentioned
95316081,747741731836280832,mentioned
95316081,2465797107,mentioned
229045433,229045433,mentioned
705687017,2839591813,mentioned
705687017,203132018,mentioned
362642209,612473,mentioned
362642209,116798290,mentioned
1647573157,278030604,mentioned
113062227,1443221061189971973,mentioned
113062227,14342564,mentioned
113062227,11348282,mentioned
113062227,1599799508,mentioned
123231225,234374703,mentioned
42210513,1195025771368239106,mentioned
42210513,17463923,mentioned
42210513,16544818,mentioned
42210513,44330473,mentioned
74447139,5120691,mentioned
523433085,66312892,mentioned
140137815,343267635,mentioned
140137815,57341938,mentioned
140137815,34733652,mentioned
40001204,14159148,mentioned
40001204,38146999,mentioned
40001204,19649135,mentioned
1083463086105874433,65051142,mentioned
1083463086105874433,1134059457191776257,mentioned
1175946629804740608,190402471,mentioned
140137815,140137815,mentioned
140137815,192942213,mentioned
811192656,3196494064,mentioned
811192656,274025365,mentioned
38146999,113062227,mentioned
1445119592,870629200348274688,mentioned
1445119592,2477489533,mentioned
408068123,8731312,mentioned
408068123,15463610,mentioned
2769994652,1051881386355949570,quoted
2769994652,32372834,mentioned
2769994652,1051881386355949570,mentioned
2187906247,816592081200279552,quoted
716576919328841728,1467609360,mentioned
926309671773683712,48702842,mentioned
926309671773683712,1087723402226487297,mentioned
926309671773683712,906971212370386944,mentioned
926309671773683712,1148442735734677504,mentioned
926309671773683712,59195104,mentioned
926309671773683712,1402192935056195586,mentioned
926309671773683712,1008688766062661632,mentioned
926309671773683712,113721008,mentioned
408068123,8731312,mentioned
408068123,45885508,mentioned
408068123,15463610,mentioned
408068123,2590407811,mentioned
703949121745350657,905916913858916353,mentioned
113062227,2242373666,mentioned
811192656,576388016,mentioned
811192656,117414115,mentioned
809310522,276713213,mentioned
1310449270789726208,2187350806,mentioned
1195025771368239106,1399477867,mentioned
456808166,11347122,mentioned
3300453568,5402612,quoted
113062227,3346529644,mentioned
885275791461711873,1345668378594258944,mentioned
885275791461711873,36683668,mentioned
885275791461711873,2152297017,mentioned
885275791461711873,1037050409318273024,mentioned
192942213,2821132277,mentioned
926309671773683712,1006419421244678144,mentioned
926309671773683712,1134059457191776257,mentioned
926309671773683712,1019974187975430144,mentioned
926309671773683712,189376144,mentioned
926309671773683712,1071817859414806528,mentioned
926309671773683712,17463923,mentioned
926309671773683712,1072187272815149057,mentioned
926309671773683712,1087723402226487297,mentioned
926309671773683712,4329928102,mentioned
926309671773683712,1008688766062661632,mentioned
926309671773683712,25234999,mentioned
40001204,40001204,mentioned
40001204,74447139,mentioned
40001204,17463923,mentioned
40001204,1596123433,mentioned
1370512346,1265810389,mentioned
1370512346,1233819640628822017,mentioned
817976607398731776,355989081,mentioned
15461733,11348282,mentioned
811192656,260853848,mentioned
811192656,234550882,mentioned
809310522,260853848,mentioned
755923763829497856,1006419421244678144,mentioned
755923763829497856,1339266131161313281,mentioned
883636277534277632,1006419421244678144,mentioned
883636277534277632,1134059457191776257,mentioned
883636277534277632,906971212370386944,mentioned
883636277534277632,1087723402226487297,mentioned
883636277534277632,1103641840316645376,mentioned
883636277534277632,1053768884732547072,mentioned
883636277534277632,1317125122042388485,mentioned
883636277534277632,1068337838,mentioned
883636277534277632,917397799972605953,mentioned
883636277534277632,1183279797654511616,mentioned
883636277534277632,1019974187975430144,mentioned
883636277534277632,25234999,mentioned
555031989,555031989,mentioned
555031989,85995990,mentioned
555031989,48008938,mentioned
555031989,1053425605,mentioned
716576919328841728,3346529644,mentioned
113062227,19282280,mentioned
825920479055671296,4135644558,quoted
825920479055671296,1441467623598788613,mentioned
1731554581,14159148,quoted
288392028,16343974,mentioned
288392028,22677004,mentioned
288392028,288955950,mentioned
288392028,50069007,mentioned
1450826022828584966,1006419421244678144,mentioned
3045789534,80811754,mentioned
3045789534,1314384834546921472,mentioned
3045789534,3045789534,mentioned
78637132,37982492,mentioned
40001204,20596281,mentioned
40001204,40001204,mentioned
40001204,144993330,mentioned
2187906247,260478229,quoted
2187906247,260478229,mentioned
189868631,14499829,quoted
189868631,14499829,mentioned
